,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
220,0425\10.json,0425\32.json,0.563,0.525,0.543557307,0.800876688,0.557657739
221,0425\10.json,0425\33.json,0.599,0.566,0.576923077,0.784978705,0.557657739
222,0425\10.json,0425\34.json,0.626,0.573,0.603881085,0.81465665,0.605833333
223,0425\10.json,0425\35.json,0.52,0.482,0.5204165,0.718491785,0.502096748
224,0425\10.json,0425\36.json,0.604,0.577,0.613940614,0.736787972,0.526693496
225,0425\10.json,0425\37.json,0.599,0.579,0.641940739,0.858443448,0.582263459
226,0425\10.json,0425\38.json,0.65,0.623,0.647150229,0.779990498,0.582263459
227,0425\10.json,0425\39.json,0.629,0.605,0.674881906,0.783236342,0.526693496
228,0425\10.json,0425\4.json,0.557,0.505,0.613395615,0.818773796,0.541666667
229,0425\10.json,0425\40.json,0.635,0.607,0.637377439,0.7284822,0.590860162
230,0425\10.json,0425\41.json,0.567,0.514,0.543557307,0.727329759,0.551274563
231,0425\10.json,0425\42.json,0.57,0.546,0.600480577,0.796577384,0.512285054
232,0425\10.json,0425\43.json,0.61,0.582,0.613395615,0.754716782,0.576396782
233,0425\10.json,0425\44.json,0.588,0.536,0.600480577,0.749496907,0.561471841
234,0425\10.json,0425\45.json,0.602,0.583,0.668993608,0.795187327,0.602640072
235,0425\10.json,0425\46.json,0.583,0.53,0.600480577,0.674443934,0.555605164
236,0425\10.json,0425\47.json,0.548,0.512,0.613395615,0.81105535,0.527203286
237,0425\10.json,0425\48.json,0.602,0.534,0.613395615,0.815435535,0.561471841
238,0425\10.json,0425\49.json,0.57,0.511,0.572502574,0.835024409,0.557666711
239,0425\10.json,0425\5.json,0.517,0.5,0.600480577,0.868216965,0.541666667
240,0425\10.json,0425\50.json,0.57,0.556,0.600480577,0.769560797,0.526693496
241,0425\10.json,0425\51.json,0.544,0.503,0.5204165,0.768617182,0.527203286
242,0425\10.json,0425\52.json,0.637,0.612,0.710805709,0.83256001,0.602640072
243,0425\10.json,0425\53.json,0.57,0.543,0.585369407,0.863745132,0.526693496
244,0425\10.json,0425\54.json,0.551,0.495,0.437237316,0.864883906,0.507203395
245,0425\10.json,0425\55.json,0.594,0.544,0.627571632,0.818286133,0.555605164
246,0425\10.json,0425\56.json,0.626,0.603,0.59914469,0.811375516,0.576451721
247,0425\10.json,0425\57.json,0.618,0.59,0.684736788,0.798549664,0.611236775
248,0425\10.json,0425\58.json,0.543,0.516,0.543557307,0.771401259,0.505901878
249,0425\10.json,0425\59.json,0.598,0.571,0.543557307,0.806850503,0.49758316
250,0425\10.json,0425\6.json,0.612,0.612,0.720576692,0.849879052,0.605833333
251,0425\10.json,0425\60.json,0.499,0.443,0.437237316,0.701304319,0.4775
252,0425\10.json,0425\61.json,0.585,0.558,0.555936987,0.79251865,0.541506944
253,0425\10.json,0425\62.json,0.602,0.575,0.55634864,0.777962398,0.563666667
254,0425\10.json,0425\63.json,0.509,0.459,0.509849929,0.670631947,0.4775
255,0425\10.json,0425\64.json,0.623,0.582,0.570087713,0.758188183,0.555605164
256,0425\10.json,0425\65.json,0.58,0.516,0.55634864,0.790621346,0.555605164
257,0425\10.json,0425\66.json,0.573,0.546,0.570087713,0.743214881,0.570068545
258,0425\10.json,0425\67.json,0.587,0.535,0.566138517,0.649167491,0.544872685
259,0425\10.json,0425\68.json,0.492,0.459,0.528395949,0.816872497,0.4775
260,0425\10.json,0425\69.json,0.582,0.572,0.641940739,0.85694079,0.567855018
